Parent Skel, Concatenation Offset, Imbedded Skel, Concatenated Offset,Line Number, Optional, No File Tailoring, Extended
CMN28,1,CMN$$PND,1,7,,,NOEXT
CMN28,1,CMN$$X29,2,21,,,NOEXT
CMN28,1,CMN$$F29,2,24,,,NOEXT
CMN28,1,CMN$$N29,2,27,,,NOEXT
CMN29,2,CMN$$JNM,1,1,,,NOEXT
CMN29,2,CMN00INS,1,6,,,NOEXT
CMN29,2,CMN99INS,1,8,,,NOEXT
CMN30,1,CMN$$JNM,1,1,,,NOEXT
CMN30,1,CMNINLPM,2,9,,,NOEXT
CMN30,1,CMN$$CA7,2,13,,,NOEXT
CMN30,1,CMN$$PLP,1,46,,,NOEXT
CMN30,1,CMN$$PLP,1,81,,,NOEXT
CMN30,1,CMN$$PLP,1,112,,,NOEXT
CMN30,1,CMN30CPY,1,215,,,NOEXT
CMN30,1,CMN30REN,2,221,,,NOEXT
CMN30,1,CMN30REN,2,229,,,NOEXT
CMN30,1,CMN30DEL,1,235,,,NOEXT
CMN30,1,CMN30CPY,1,245,,,NOEXT
CMN30,1,CMN30REN,2,251,,,NOEXT
CMN30,1,CMN30REN,2,285,,,NOEXT
CMN30,1,CMN$$PLP,1,310,,,NOEXT
CMN30,1,CMN$$PLP,1,351,,,NOEXT
CMN30,1,CMN$$ENQ,1,379,,,NOEXT
CMN30,1,CMN$$PLP,1,450,,,NOEXT
CMN30,1,CMN$$PLP,1,487,,,NOEXT
CMN30,1,CMN$$PLP,1,514,,,NOEXT
CMN30,1,CMN$$ENQ,1,537,,,NOEXT
CMN30,1,CMN30REN,2,561,,,NOEXT
CMN30,1,CMN30DEL,1,568,,,NOEXT
CMN30,1,CMN$$PLP,1,616,,,NOEXT
CMN30,1,CMN$$SPR,1,641,,,NOEXT
CMN30,1,CMN$$SLN,2,651,,,NOEXT
CMN30,1,CMN$$SPR,1,655,,,NOEXT
CMN30,1,CMN00INS,1,671,,,NOEXT
CMN30,1,CMN99INS,1,674,,,NOEXT
CMN30CDT,1,CMN30CPI,1,84,,,NOEXT
CMN30CDT,1,CMN30REN,2,90,,,NOEXT
CMN30CDT,1,CMN30REN,2,124,,,NOEXT
CMN30CDT,1,CMN$$ENQ,1,163,,,NOEXT
CMN30CDT,1,CMN30REN,2,184,,,NOEXT
CMN30CDT,1,CMN30DEL,1,190,,,NOEXT
CMN30CPI,1,CMN$$ENQ,1,18,,,NOEXT
CMN30CPY,1,CMN$$ENQ,1,10,,,NOEXT
CMN30I,1,CMN$$JNM,1,2,,,NOEXT
CMN30I,1,CMNINLPM,2,24,,,NOEXT
CMN30I,1,CMN$$CA7,2,30,,,NOEXT
CMN30I,1,CMN30PAN,2,73,,,NOEXT
CMN30I,1,CMN30LIB,2,83,,,NOEXT
CMN30I,1,CMN30CDT,1,93,,,NOEXT
CMN30I,1,CMN30SRD,1,103,,,NOEXT
CMN30I,1,CMN30PDS,1,113,,,NOEXT
CMN30I,1,CMNJSPRD,1,128,,,NOEXT
CMN30I,1,CMNINIGN,1,133,,,NOEXT
CMN30I,1,CMNINIGN,1,136,,,NOEXT
CMN30I,1,CMNINIGN,1,139,,,NOEXT
CMN30I,1,CMNIDPEX,1,163,,,NOEXT
