Skeleton,Program,Line Number
CMNMFSGN,CMNBAT90,72
CMNMFSGN,SERCOPY,97
CMNMFSIG,SY4020,14
CMNMFSIG,SY4020,55
CMNMFSPG,SY4020,19
CMNMFSPG,SY4020,60
CMNMFSRG,SY4020,15
CMNMFSRG,SY4020,52
CMNMFSRG,SY4020,69
CMNPDPEX,CMNWRITE,7
CMNPDPEX,IEBGENER,80
CMNPDPGN,ASMA90,8
CMNPDPGN,CMNSSIDN,105
CMNPDPGN,HEWL,133
CMNPDPOV,CMNISOVR,8
CMNPDPOV,ASMA90,48
CMNPDPOV,CMNSSIDN,103
CMNPDPOV,IEWL,143
CMNPLICM,IEBCOPY,61
CMNPLICM,&$BINDPGM,235
CMNPRASW,DFSUOCU0,6
CMNPRFSW,DFSUOCU0,6
CMNPSBGN,IEFBR14,48
CMNPSBGN,IEBGENER,52
CMNRDD01,CMNVSRVC,6
CMNRDD02,IEBGENER,10
CMNRDD03,IKJEFT01,17
CMNRDD03,IKJEFT01,43
CMNRDPEX,CMNWRITE,7
CMNRDPEX,IEBGENER,78
CMNRDPGN,ASMA90,9
CMNRDPGN,CMNSSIDN,74
CMNRDPGN,HEWL,106
CMNRDPOV,CMNISOVR,8
CMNRDPOV,ASMA90,48
CMNRDPOV,CMNSSIDN,107
CMNRDPOV,IEWL,146
CMNRPACB,DFSRRC00,10
CMNRPICL,IEBCOPY,44
CMNRPICL,SERCOPY,47
CMNRPICL,CMNDELRN,101
CMNRPICL,CMNDELRN,141
CMNRPICL,IEBGENER,165
CMNRPICL,IEFBR14,174
CMNRPICL,IEBGENER,179
CMNRPICR,IEBGENER,356
CMNRPICR,IEFBR14,366
CMNRPICR,IEBGENER,372
CMNRPICR,IEBGENER,385
CMNRPIGN,SORT,37
CMNRPIGN,CMNISMFS,92
CMNRPIPC,CMNDELRN,5
CMNRPIPS,IEBCOPY,17
CMNRPIPS,SERCOPY,20
CMNRPIRC,IEBCOPY,7
CMNRPIRC,SERCOPY,10
CMNRPIRD,CMNDELRN,5
CMNRPISC,IEBCOPY,13
CMNRPISC,SERCOPY,16
CMNRPM00,CMNBATCH,5
CMNRPM00,IEFBR14,19
CMNRPM10,IEBGENER,32
CMNRPM10,IEBCOPY,84
CMNRPM10,IEBGENER,95
CMNRPM10,IEBGENER,104
CMNRPM10,IEFBR14,169
CMNRPM10,IEBCOPY,173
CMNRPM20,IEBCOPY,10
CMNRPM20,CMNDELRN,22
CMNRPM20,CMNDELRN,35
CMNRPM20,CMNDELRN,48
CMNRPM20,IEBGENER,61
CMNRPM20,IEFBR14,69
CMNRPM20,IEBGENER,71
CMNRPM20,IEFBR14,80
CMNRPM20,IEFBR14,86
CMNRPM2I,IEBCOPY,10
CMNRPM2I,IEFBR14,27
CMNRPM2I,CMNDELRN,32
CMNRPM2I,CMNDELRN,46
CMNRPM2I,CMNDELRN,60
CMNRPM2I,IEFBR14,87
CMNRPM2I,IEFBR14,93
CMNRPM30,CMNDELRN,13
CMNRPM30,IEBGENER,26
CMNRPM30,IEFBR14,34
CMNRPM30,IEBGENER,36
CMNRPM3I,CMNDELRN,18
